pin,slack
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_RNITO8JC:B,3759
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_RNITO8JC:C,452
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_RNITO8JC:D,402
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_RNITO8JC:Y,402
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[10]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[10]:D,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[10]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[10]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[1]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[1]:D,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[1]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[1]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[12]:A,7476
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[12]:B,3189
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[12]:C,8238
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[12]:D,8182
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[12]:Y,3189
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_o2[7]:A,663
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_o2[7]:B,638
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_o2[7]:Y,638
clkDiv/counter[9]:CLK,
clkDiv/counter[9]:D,
clkDiv/counter[9]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b7_OSr_J90_RNO_0:A,6694
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b7_OSr_J90_RNO_0:B,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b7_OSr_J90_RNO_0:Y,6694
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[0]:A,2536
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[0]:B,2537
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[0]:C,3260
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[0]:D,3210
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[0]:Y,2536
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_5:A,3906
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_5:B,3869
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_5:C,3803
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_5:D,3759
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.un8_b7_nYhI39s_5:Y,3759
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[15]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[15]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[15]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[15]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[25]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[25]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[25]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b4_oYh0[1]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b4_oYh0[1]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b4_oYh0[1]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b4_oYh0[1]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b4_oYh0[1]:SLn,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_2:A,6733
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_2:B,6702
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.un1_b5_PRWcJ_2:Y,6702
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[4]:CLK,2887
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[4]:D,9105
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[4]:Q,2887
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[4]:SLn,2952
clk_ccc/PF_CCC_C0_0/pll_inst_0:DELAY_LINE_DIRECTION_OUT,
clk_ccc/PF_CCC_C0_0/pll_inst_0:DELAY_LINE_LOAD_OUT,
clk_ccc/PF_CCC_C0_0/pll_inst_0:DELAY_LINE_MOVE_OUT,
clk_ccc/PF_CCC_C0_0/pll_inst_0:DELAY_LINE_OUT_OF_RANGE_IN,
clk_ccc/PF_CCC_C0_0/pll_inst_0:DELAY_LINE_WIDE_OUT,
clk_ccc/PF_CCC_C0_0/pll_inst_0:FB_CLK,
clk_ccc/PF_CCC_C0_0/pll_inst_0:OUT0,
clk_ccc/PF_CCC_C0_0/pll_inst_0:REF_CLK_0,
clk_ccc/PF_CCC_C0_0/pll_inst_0:REF_CLK_1,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0/CFG_28:Y,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[21]:CLK,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[21]:D,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[21]:EN,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[21]:Q,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0_RNO_0:A,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0_RNO_0:B,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0_RNO_0:C,
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/b9_SoW_TWsrw_b9_SoW_TWsrw_0_0_RNO_0:Y,
ident_coreinst/IICE_INST/mdiclink_reg[6]:CLK,9111
ident_coreinst/IICE_INST/mdiclink_reg[6]:D,
ident_coreinst/IICE_INST/mdiclink_reg[6]:Q,9111
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[3]:A,1827
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[3]:B,3332
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[3]:C,2504
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/b8_uUT_CqMr_RNO[3]:Y,1827
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[10]:CLK,2856
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[10]:D,9082
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[10]:Q,2856
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[10]:SLn,2184
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[9]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[9]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[9]:Q,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[13]:A,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[13]:B,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[13]:C,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[13]:Y,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc4:A,8341
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc4:B,7450
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc4:C,8244
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un5_b5_PRWcJ_axbxc4:Y,7450
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[14]:A,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[14]:B,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[14]:C,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_5[14]:Y,
clkDiv/clk_out:CLK,
clkDiv/clk_out:D,
clkDiv/clk_out:EN,
clkDiv/clk_out:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[9]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[9]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[9]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[9]:SLn,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/b9_OvyH3_saL[0]:CLK,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/b9_OvyH3_saL[0]:D,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/b9_OvyH3_saL[0]:EN,
ident_coreinst/comm_block_INST/b7_Rcmi_ql/b9_OvyH3_saL[0]:Q,
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/b6_BATJwN_4:A,6695
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/b6_BATJwN_4:B,6644
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/b6_BATJwN_4:Y,6644
rstn_ibuf/U_IOIN:Y,
rstn_ibuf/U_IOIN:YIN,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/b10_nUT_M9kYfr[3]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/b10_nUT_M9kYfr[3]:D,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/b10_nUT_M9kYfr[3]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/b10_nUT_M9kYfr[3]:Q,
clkDiv/un1_counter_1_cry_3:B,
clkDiv/un1_counter_1_cry_3:CC,
clkDiv/un1_counter_1_cry_3:P,
clkDiv/un1_counter_1_cry_3:S,
clkDiv/un1_counter_1_cry_3:Y3,
clkDiv/un1_counter_1_cry_3:Y3A,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_2:B,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_2:CC,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_2:P,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_2:S,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_2:Y3,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_2:Y3A,
ident_coreinst/IICE_INST/b5_nUTGT/b3_nUT[1]:CLK,3245
ident_coreinst/IICE_INST/b5_nUTGT/b3_nUT[1]:D,
ident_coreinst/IICE_INST/b5_nUTGT/b3_nUT[1]:Q,3245
ident_coreinst/IICE_INST/b5_nUTGT/b3_nUT[1]:SLn,
ident_coreinst/IICE_INST/b8_uKr_IFLY/b7_PSyi_9u_0_a2_0:A,
ident_coreinst/IICE_INST/b8_uKr_IFLY/b7_PSyi_9u_0_a2_0:B,
ident_coreinst/IICE_INST/b8_uKr_IFLY/b7_PSyi_9u_0_a2_0:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[6]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[6]:D,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[6]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[6]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[0]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[0]:D,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[0]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/genblk2.b3_nUT[0]:Q,
ident_coreinst/IICE_INST/b3_SoW/b7_yYh03wy6_0_a4:A,
ident_coreinst/IICE_INST/b3_SoW/b7_yYh03wy6_0_a4:B,
ident_coreinst/IICE_INST/b3_SoW/b7_yYh03wy6_0_a4:C,
ident_coreinst/IICE_INST/b3_SoW/b7_yYh03wy6_0_a4:D,
ident_coreinst/IICE_INST/b3_SoW/b7_yYh03wy6_0_a4:Y,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ_RNO[0]:A,8337
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b5_PRWcJ_RNO[0]:Y,8337
clkDiv/un1_counter_1_cry_2:B,
clkDiv/un1_counter_1_cry_2:CC,
clkDiv/un1_counter_1_cry_2:P,
clkDiv/un1_counter_1_cry_2:S,
clkDiv/un1_counter_1_cry_2:Y3,
clkDiv/un1_counter_1_cry_2:Y3A,
ident_coreinst/IICE_INST/b5_nUTGT/un1_b3_nfs_2_1_RNILCPFL:A,520
ident_coreinst/IICE_INST/b5_nUTGT/un1_b3_nfs_2_1_RNILCPFL:B,1257
ident_coreinst/IICE_INST/b5_nUTGT/un1_b3_nfs_2_1_RNILCPFL:C,402
ident_coreinst/IICE_INST/b5_nUTGT/un1_b3_nfs_2_1_RNILCPFL:Y,402
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[5]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[5]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[5]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG[5]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[8]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[8]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[8]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXs[8]:SLn,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_RNO[7]:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_RNO[7]:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_RNO[7]:C,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_RNO[7]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_RNO[7]:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[2]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[2]:D,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[2]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[2]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_0_a2_0[9]:A,644
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_0_a2_0[9]:B,603
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_0_a2_0[9]:Y,603
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk1.b9_PSyil9s_2_RNIEBM1A:A,2184
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk1.b9_PSyil9s_2_RNIEBM1A:B,8231
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk1.b9_PSyil9s_2_RNIEBM1A:C,8087
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk1.b9_PSyil9s_2_RNIEBM1A:Y,2184
master/dataOut[1]:CLK,9088
master/dataOut[1]:D,
master/dataOut[1]:EN,7489
master/dataOut[1]:Q,9088
master/dataOut[1]:SLn,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[7]:A,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[7]:B,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[7]:C,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9_10[7]:Y,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[2]:B,7091
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[2]:CC,7286
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[2]:P,7091
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[2]:S,7286
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[2]:Y3,
ident_coreinst/IICE_INST/b5_nUTGT/genblk4.b7_nYhI39s_cry[2]:Y3A,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[9]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[9]:D,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[9]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN[9]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b4_oYh0[2]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b4_oYh0[2]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b4_oYh0[2]:EN,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b4_oYh0[2]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/b4_oYh0[2]:SLn,
ident_coreinst/IICE_INST/b3_SoW/b12_PSyi_KyDbLbb[3]:CLK,
ident_coreinst/IICE_INST/b3_SoW/b12_PSyi_KyDbLbb[3]:D,9088
ident_coreinst/IICE_INST/b3_SoW/b12_PSyi_KyDbLbb[3]:EN,1318
ident_coreinst/IICE_INST/b3_SoW/b12_PSyi_KyDbLbb[3]:Q,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[5]:CLK,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[5]:D,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[5]:EN,
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/genblk1.b13_PLF_2grFt_FH9[5]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/runstart_d_RNIEHQ5K:A,885
ident_coreinst/IICE_INST/b5_nUTGT/runstart_d_RNIEHQ5K:B,842
ident_coreinst/IICE_INST/b5_nUTGT/runstart_d_RNIEHQ5K:C,5792
ident_coreinst/IICE_INST/b5_nUTGT/runstart_d_RNIEHQ5K:D,5725
ident_coreinst/IICE_INST/b5_nUTGT/runstart_d_RNIEHQ5K:Y,842
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r1[13]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r1[13]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r1[13]:Q,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[18]:CLK,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[18]:D,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[18]:EN,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[18]:Q,
ident_coreinst/comm_block_INST/b9_ORb_xNywD/genblk1.b3_ORb[18]:SLn,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_RNO[4]:A,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_RNO[4]:B,
ident_coreinst/IICE_INST/b5_nUTGT/genblk5.b12_uRrc2XfY_rbN_RNO[4]:Y,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXsc:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXsc:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b9_v_mzCDYXsc:Y,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[4]:A,8341
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[4]:B,7467
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[4]:C,3137
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[4]:D,1492
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_RNO[4]:Y,1492
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[6]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[6]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[6]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[6]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b7_nYJ_BFM[6]:SLn,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[5]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[5]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[5]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk1.genblk1.b13_PLy_2grFt_FH9[5]:Q,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_6[0]:A,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_6[0]:B,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_6[0]:C,
ident_coreinst/IICE_INST/b3_SoW/genblk9.b3_PfG_6[0]:Y,
clkDiv/counter[8]:CLK,
clkDiv/counter[8]:D,
clkDiv/counter[8]:Q,
clkDiv/counter[8]:SLn,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[8]:CLK,1483
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[8]:D,2455
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3[8]:Q,1483
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[13]:CLK,2827
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[13]:D,9088
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[13]:Q,2827
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/genblk4.b9_oRB_IFM_2[13]:SLn,2184
outBit3_obuf/U_IOTRI:D,
outBit3_obuf/U_IOTRI:DOUT,
outBit3_obuf/U_IOTRI:EOUT,
outBit2_obuf/U_IOPAD:D,
outBit2_obuf/U_IOPAD:E,
outBit2_obuf/U_IOPAD:PAD,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un1_b12_oFTt_v5rb3b4[0]:A,4823
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un1_b12_oFTt_v5rb3b4[0]:B,4803
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un1_b12_oFTt_v5rb3b4[0]:C,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un1_b12_oFTt_v5rb3b4[0]:D,
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/un1_b12_oFTt_v5rb3b4[0]:Y,4803
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_6:B,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_6:CC,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_6:P,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_6:S,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_6:Y3,
ident_coreinst/IICE_INST/b3_SoW/un1_genblk9.b9_v_mzCDYXs_cry_6:Y3A,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[6]:CLK,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[6]:D,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[6]:EN,
ident_coreinst/IICE_INST/b3_SoW/genblk5.b11_oGA_BXsO_OT/genblk2.b8_nczQ_DYg[6]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[1]:CLK,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[1]:D,
ident_coreinst/IICE_INST/b5_nUTGT/iicestat_reg_r0[1]:Q,
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_a2[11]:A,1827
ident_coreinst/IICE_INST/b5_nUTGT/b13_nAzGfFM_sLsv3_srsts_i_a2[11]:B,2573
