
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. UART_TOP, 45, 67, 4, 0, 0, 0, 0, 1, 4
.	. UART_RX_25s_0_1_2_3_4, 22, 38, 0, 0, 0, 0, 0, 0, 0
.	. UART_TX_25s_0_1_2_3_4, 23, 29, 4, 0, 0, 0, 0, 0, 0
